"DOKLAD_ROK";"DOKLAD_DATUM";"DOKLAD_AGENDA";"DOKLAD_CISLO";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"PARAGRAF";"PARAGRAF_NAZEV";"POLOZKA";"POLOZKA_NAZEV";"SUBJEKT_IC";"SUBJEKT_NAZEV";"CASTKA_MD";"CASTKA_DAL";"POZNAMKA"
"2016";"2016-01-01";"ROZ";"232001";"0000000000219";"Údržba privatizovaných domů";"0";"";"3612";"Bytové hospodářství";"5154";"Elektrická energie";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5161";"Služby pošt";"";"";"0";"20300";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5162";"Služby telekomunikací a radiokomunikací";"";"";"0";"10000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"2052000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000223";"Ekologické nocležiště";"0";"";"3429";"Ostatní zájmová činnost a rekreace";"5169";"Nákup ostatních služeb";"";"";"0";"30000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000179";"Koupaliště";"0";"";"3429";"Ostatní zájmová činnost a rekreace";"5169";"Nákup ostatních služeb";"";"";"0";"250000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000223";"Ekologické nocležiště";"0";"";"3429";"Ostatní zájmová činnost a rekreace";"5154";"Elektrická energie";"";"";"0";"40000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000323";"Dotace";"0";"";"3419";"Ostatní tělovýchovná činnost";"5222";"Neinvestiční transfery občanským sdružením";"";"";"0";"1000000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"336000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"112500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5151";"Studená voda";"";"";"0";"7000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5154";"Elektrická energie";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5156";"Pohonné hmoty a maziva";"";"";"0";"9000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5169";"Nákup ostatních služeb";"";"";"0";"171000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5171";"Opravy a udržování";"";"";"0";"101000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000151";"Dům dětí a mládeže";"0";"";"3421";"Využití volného času dětí a mládeže";"5331";"Neinvestiční příspěvky zřízeným příspěvkovým organizacím";"";"";"0";"830000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000149";"Přemístění ZUŠ";"5102";"";"3421";"Využití volného času dětí a mládeže";"6121";"Budovy, haly a stavby";"";"";"0";"1000000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000303";"Hlinné – sportoviště střídačky";"9116";"";"3421";"Využití volného času dětí a mládeže";"6121";"Budovy, haly a stavby";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000223";"Ekologické nocležiště";"0";"";"3429";"Ostatní zájmová činnost a rekreace";"5151";"Studená voda";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000134";"Novoměstské sociální služby";"0";"";"3612";"Bytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"512000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000219";"Údržba privatizovaných domů";"0";"";"3612";"Bytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"100000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5152";"Teplo";"";"";"0";"250000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5152";"Teplo";"";"";"0";"495000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5153";"Plyn";"";"";"0";"53000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5153";"Plyn";"";"";"0";"562000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5154";"Elektrická energie";"";"";"0";"311000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000196";"Kino";"0";"";"3613";"Nebytové hospodářství";"5154";"Elektrická energie";"";"";"0";"67000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5154";"Elektrická energie";"";"";"0";"711000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5155";"Pevná paliva";"";"";"0";"60000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5161";"Služby pošt";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"19000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000196";"Kino";"0";"";"3613";"Nebytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"3000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5169";"Nákup ostatních služeb";"";"";"0";"278000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5151";"Studená voda";"";"";"0";"227000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000196";"Kino";"0";"";"3613";"Nebytové hospodářství";"5151";"Studená voda";"";"";"0";"20000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5151";"Studená voda";"";"";"0";"70000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"150000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000219";"Údržba privatizovaných domů";"0";"";"3612";"Bytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"50000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"1909";"";"3612";"Bytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"680000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"3002";"";"3612";"Bytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"1400000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000219";"Údržba privatizovaných domů";"0";"";"3612";"Bytové hospodářství";"5189";"Ostatní poskytované zálohy a jistiny";"";"";"0";"900000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000219";"Údržba privatizovaných domů";"0";"";"3612";"Bytové hospodářství";"5199";"Ostatní výdaje související s neinvestičními nákupy";"";"";"0";"525000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"5362";"Platby daní a poplatků státnímu rozpočtu";"";"";"0";"10000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000392";"Komunitní dům seniorů NMNM";"7714";"";"3612";"Bytové hospodářství";"6121";"Budovy, haly a stavby";"";"";"0";"1000000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000284";"NSS - projekt a rekonstrukce kotelny na DPS";"7717";"Přechody pro chodce";"3612";"Bytové hospodářství";"6121";"Budovy, haly a stavby";"";"";"0";"1500000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"40000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"7000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5139";"Nákup materiálu jinde nezařazený";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"3613";"Nebytové hospodářství";"5171";"Opravy a udržování";"";"";"0";"145000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"5512";"Požární ochrana-dobrovolná část";"5039";"Ostatní povinné pojistné placené zaměstnavatelem";"";"";"0";"19700";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5132";"Ochranné pomůcky";"";"";"0";"30000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5136";"Knihy, učební pomůcky a tisk";"";"";"0";"32000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"186000";""
